Species,Type,leaf_d13C,leaf_D13C,latitude,longitude,author,year
Miconia faveloata,C3,-30.1,22.36414008,18.3,-65.783,von_Fischer_etal,1995
Miconia pachyphyla,C3,-29.6,21.86414008,18.3,-65.783,von_Fischer_etal,1995
Micropholis garciniifolia,C3,-30.9,23.16414008,18.3,-65.783,von_Fischer_etal,1995
Mikania fragilis,C3,-33.3,25.56414008,18.3,-65.783,von_Fischer_etal,1995
Ocotea spathulata,C3,-30,22.26414008,18.3,-65.783,von_Fischer_etal,1995
Pilea sp.,C3,-29.2,21.46414008,18.3,-65.783,von_Fischer_etal,1995
Prestoea montana,C3,-27.7,19.96414008,18.3,-65.783,von_Fischer_etal,1995
Psychotria berteroana,C3,-30,22.26414008,18.3,-65.783,von_Fischer_etal,1995
Tabebuia linearis,C3,-29.7,21.96414008,18.3,-65.783,von_Fischer_etal,1995
Wallenia yunquensis,C3,-30.7,22.96414008,18.3,-65.783,von_Fischer_etal,1995
Acanthus pallens,C3,-28.3,20.56414008,18.3,-65.783,von_Fischer_etal,1995
Begonia decandra,C3,-28.3,20.56414008,18.3,-65.783,von_Fischer_etal,1995
Cecropia metensis,C3,-29.9,22.16414008,18.3,-65.783,von_Fischer_etal,1995
Croton poecilanthus,C3,-29.5,21.76414008,18.3,-65.783,von_Fischer_etal,1995
Cyathea portoricensis,C3,-29.5,21.76414008,18.3,-65.783,von_Fischer_etal,1995
Cyrilla racemiflora,C3,-28.1,20.36414008,18.3,-65.783,von_Fischer_etal,1995
Dillenia viridifolia,C3,-28.8,21.06414008,18.3,-65.783,von_Fischer_etal,1995
Guarea glabra,C3,-30.5,22.76414008,18.3,-65.783,von_Fischer_etal,1995
Pilea sp.,C3,-29.5,21.76414008,18.3,-65.783,von_Fischer_etal,1995
Prestoea montana,C3,-29.2,21.46414008,18.3,-65.783,von_Fischer_etal,1995
Psychotria berteroana,C3,-30.2,22.46414008,18.3,-65.783,von_Fischer_etal,1995
Alchornea latifolia,C3,-29.3,21.56414008,18.3,-65.783,von_Fischer_etal,1995
Henriettea squamulosa,C3,-29.8,22.06414008,18.3,-65.783,von_Fischer_etal,1995
Chionanthus domingensis,C3,-30.5,22.76414008,18.3,-65.783,von_Fischer_etal,1995
Croton poecilanthus,C3,-28.7,20.96414008,18.3,-65.783,von_Fischer_etal,1995
Dacryodes excelsa,C3,-31.7,23.96414008,18.3,-65.783,von_Fischer_etal,1995
Dioscorea sp.,C3,-30.9,23.16414008,18.3,-65.783,von_Fischer_etal,1995
Guarea guidonia,C3,-32,24.26414008,18.3,-65.783,von_Fischer_etal,1995
Manilkara bidentata,C3,-31.7,23.96414008,18.3,-65.783,von_Fischer_etal,1995
Marcgravia brownei,C3,-29.8,22.06414008,18.3,-65.783,von_Fischer_etal,1995
Mikania ligustrifolia,C3,-32.2,24.46414008,18.3,-65.783,von_Fischer_etal,1995
Ocotea leucoxylon,C3,-30.8,23.06414008,18.3,-65.783,von_Fischer_etal,1995
Palicourea croceoides,C3,-33.3,25.56414008,18.3,-65.783,von_Fischer_etal,1995
Philodendron sp.,C3,-30,22.26414008,18.3,-65.783,von_Fischer_etal,1995
Pilea sp.,C3,-31.1,23.36414008,18.3,-65.783,von_Fischer_etal,1995
Piper hispidum,C3,-31.4,23.66414008,18.3,-65.783,von_Fischer_etal,1995
Prestoea montana,C3,-31.4,23.66414008,18.3,-65.783,von_Fischer_etal,1995
Psychotria albide,C3,-30.6,22.86414008,18.3,-65.783,von_Fischer_etal,1995
Rourea surinamensis,C3,-30.6,22.86414008,18.3,-65.783,von_Fischer_etal,1995
Sloanea berteroana,C3,-29.4,21.66414008,18.3,-65.783,von_Fischer_etal,1995
Tetragastris balsamifera,C3,-32,24.26414008,18.3,-65.783,von_Fischer_etal,1995
Clethra acuminata,C3,-29.36,21.72579003,31.05,-82.267,Delucia_Schlesinger,1995
Cyrilla racemiflora,C3,-28.1,20.46579003,31.05,-82.267,Delucia_Schlesinger,1995
Decodon verticillatus,C3,-27.16,19.52579003,31.05,-82.267,Delucia_Schlesinger,1995
Ilex cassine,C3,-28.14,20.50579003,31.05,-82.267,Delucia_Schlesinger,1995
Itea virginica,C3,-28.73,21.09579003,31.05,-82.267,Delucia_Schlesinger,1995
Leucothoe racemosa,C3,-28.34,20.70579003,31.05,-82.267,Delucia_Schlesinger,1995
Lyonia lucida,C3,-27.32,19.68579003,31.05,-82.267,Delucia_Schlesinger,1995
Pieris phillyreifolia,C3,-27.33,19.69579003,31.05,-82.267,Delucia_Schlesinger,1995
Atriplex lindleyi,C4,-14.97,7.19142663,-24.08,145,Stewart_etal,1995
Acacia galpinii,C3,-24.42,17.02806227,-22.7,15.8,Schulze_etal,1996
Adenolobus pechuelii,C3,-25.39,17.99806227,-22.7,15.8,Schulze_etal,1996
Amphiasma merenskyanum,C3,-24.57,17.17806227,-22.7,15.8,Schulze_etal,1996
Copaiba mopane,C3,-22.54,15.14806227,-22.7,15.8,Schulze_etal,1996
Commiphora angolensis,C3,-23.95,16.55806227,-22.7,15.8,Schulze_etal,1996
Cryptolepis decidua,C3,-23.3,15.90806227,-22.7,15.8,Schulze_etal,1996
Indigofera auricoma,C3,-25.5,18.10806227,-22.7,15.8,Schulze_etal,1996
Maerua parvifolia,C3,-23.93,16.53806227,-22.7,15.8,Schulze_etal,1996
Monechma cleomoides,C3,-22.85,15.45806227,-22.7,15.8,Schulze_etal,1996
Petalidium engleranum,C3,-24.31,16.91806227,-22.7,15.8,Schulze_etal,1996
Polygala guerichiana,C3,-23.73,16.33806227,-22.7,15.8,Schulze_etal,1996
Terminalia prunioides,C3,-22.02,14.62806227,-22.7,15.8,Schulze_etal,1996
Arthraerua leubnitziae,C3,-22.015,14.6231762,-22.5,14.6,Schulze_etal,1996
Celosia spathulifolia,C3,-22.33,14.9381762,-22.5,14.6,Schulze_etal,1996
Chascanum garipense,C3,-23.14,15.7481762,-22.5,14.6,Schulze_etal,1996
Euphorbia phylloclada,C3,-22.38,14.9881762,-22.5,14.6,Schulze_etal,1996
Heliotropium oliveranum,C3,-26.04,18.6481762,-22.5,14.6,Schulze_etal,1996
Hermannia solaniflora,C3,-23.41,16.0181762,-22.5,14.6,Schulze_etal,1996
Merremia guerichii,C3,-25.46,18.0681762,-22.5,14.6,Schulze_etal,1996
Cracca capillipes,C3,-23.23,15.8381762,-22.5,14.6,Schulze_etal,1996
Tetraena stapfii,C3,-23.775,16.3831762,-22.5,14.6,Schulze_etal,1996
Acacia robynsiana,C3,-25.82,18.42789487,-23,15,Schulze_etal,1996
Cleome suffruticosa,C3,-25.22,17.82789487,-23,15,Schulze_etal,1996
Euphorbia phylloclada,C3,-21.995,14.60289487,-23,15,Schulze_etal,1996
Heliotropium oliveranum,C3,-24.14,16.74789487,-23,15,Schulze_etal,1996
Monechma genistifolium,C3,-22.6,15.20789487,-23,15,Schulze_etal,1996
Monechma debile,C3,-21.5,14.10789487,-23,15,Schulze_etal,1996
Sesamum schinzianum,C3,-25.36,17.96789487,-23,15,Schulze_etal,1996
Dicoma tomentosa,C3,-23.49,16.09789487,-23,15.2,Schulze_etal,1996
Euphorbia glanduligera,C3,-23.5,16.10789487,-23,15.2,Schulze_etal,1996
Geigeria alata,C3,-23.48,16.08789487,-23,15.2,Schulze_etal,1996
Fissenia capensis,C3,-21.28,13.88789487,-23,15.2,Schulze_etal,1996
Tetraena stapfii,C3,-22.21,14.81789487,-23,15.2,Schulze_etal,1996
Juniperus osteosperma,C3,-23.75,16.04925288,39.9,-110.95,Williams_Ehleringer,1996
Pinus edulis,C3,-23.84,16.13925288,39.9,-110.95,Williams_Ehleringer,1996
Quercus gambelii,C3,-27.26,19.55925288,39.9,-110.95,Williams_Ehleringer,1996
Juniperus deppeana,C3,-25.06,17.34197963,33.6,-109.13,Williams_Ehleringer,1996
Juniperus angosturana,C3,-23.06,15.34197963,33.6,-109.13,Williams_Ehleringer,1996
Pinus edulis,C3,-24.28,16.56197963,33.6,-109.13,Williams_Ehleringer,1996
Quercus arizonica,C3,-25.3,17.58197963,33.6,-109.13,Williams_Ehleringer,1996
Quercus gambelii,C3,-25.5,17.78197963,33.6,-109.13,Williams_Ehleringer,1996
Juniperus osteosperma,C3,-25.24,17.52500226,34.7,-112.15,Williams_Ehleringer,1996
Pinus edulis,C3,-23.7,15.98500226,34.7,-112.15,Williams_Ehleringer,1996
Quercus gambelii,C3,-27.12,19.40500226,34.7,-112.15,Williams_Ehleringer,1996
Juniperus deppeana,C3,-24.36,16.64390291,34.3,-110.22,Williams_Ehleringer,1996
Juniperus osteosperma,C3,-25.28,17.56390291,34.3,-110.22,Williams_Ehleringer,1996
Pinus edulis,C3,-23.54,15.82390291,34.3,-110.22,Williams_Ehleringer,1996
Quercus arizonica,C3,-25.96,18.24390291,34.3,-110.22,Williams_Ehleringer,1996
Quercus gambelii,C3,-25.73,18.01390291,34.3,-110.22,Williams_Ehleringer,1996
Juniperus osteosperma,C3,-23.58,15.88088475,40.5,-112.28,Williams_Ehleringer,1996
Quercus gambelii,C3,-26.88,19.18088475,40.5,-112.28,Williams_Ehleringer,1996
Acer saccharum,C3,-26.5,18.82372056,40.55,-111.1,Buchmann_etal,1996
Acer negundo,C3,-28.7,21.02372056,40.55,-111.1,Buchmann_etal,1996
Pinus contorta,C3,-27.8,20.12372056,40.55,-111.1,Buchmann_etal,1996
Populus tremuloides,C3,-26.2,18.52372056,40.55,-111.1,Buchmann_etal,1996
Juniperus osteosperma,C3,-23.85,16.14186983,37.2,-112.92,Williams_Ehleringer,1996
Pinus edulis,C3,-23.28,15.57186983,37.2,-112.92,Williams_Ehleringer,1996
Quercus gambelii,C3,-27.6,19.89186983,37.2,-112.92,Williams_Ehleringer,1996
Mollugo cerviana,C4,-12.89,5.498176196,-22.5,14.6,Schulze_etal,1996
Odyssea paucinervis,C4,-13.24,5.848176196,-22.5,14.6,Schulze_etal,1996
Stipagrostis subacaulis,C4,-13.31,5.918176196,-22.5,14.6,Schulze_etal,1996
Stipagrostis uniplumis,C4,-13.38,5.988176196,-22.5,14.6,Schulze_etal,1996
Stipagrostis hochstetteriana,C4,-13.6,6.208176196,-22.5,14.6,Schulze_etal,1996
Stipagrostis namibensis,C4,-13.9,6.508176196,-22.5,14.6,Schulze_etal,1996
Stipagrostis hirtigluma,C4,-12.02,4.628062269,-22.7,15.8,Schulze_etal,1996
Stipagrostis hochstetteriana,C4,-12.5,5.108062269,-22.7,15.8,Schulze_etal,1996
Eragrostis nindensis,C4,-12.64,5.248062269,-22.7,15.8,Schulze_etal,1996
Zygophyllum simplex,C4,-14.5,7.108062269,-22.7,15.8,Schulze_etal,1996
Cadaba aphylla,C4,-16.93,9.538062269,-22.7,15.8,Schulze_etal,1996
Stipagrostis hirtigluma,C4,-12.21,4.81789487,-23,15,Schulze_etal,1996
Rhynchelytrum villosum,C4,-12.48,5.08789487,-23,15.2,Schulze_etal,1996
Stipagrostis hochstetteriana,C4,-12.69,5.29789487,-23,15,Schulze_etal,1996
Stipagrostis hirtigluma,C4,-12.76,5.36789487,-23,15.2,Schulze_etal,1996
Kaokochloa nigrirostris,C4,-13,5.60789487,-23,15.2,Schulze_etal,1996
Stipagrostis uniplumis,C4,-13.24,5.84789487,-23,15,Schulze_etal,1996
Enneapogon brachystachyus,C4,-13.26,5.86789487,-23,15.2,Schulze_etal,1996
Stipagrostis subacaulis,C4,-13.31,5.91789487,-23,15,Schulze_etal,1996
Zygophyllum simplex,C4,-13.56,6.16789487,-23,15.2,Schulze_etal,1996
Gisekia africana,C4,-19.81,12.41789487,-23,15,Schulze_etal,1996
Acacia rostellifera,C3,-28.3,20.45117103,-29.817,115.267,Tennakoon_etal,1997
Santalum acuminatum,C3,-27.775,19.92617103,-29.817,115.267,Tennakoon_etal,1997
Hymenachne amplexicaulis,C3,-27.3,19.68272469,37.22,-110.9,Flanagan_etal,1997
Cephalotaxus harringtonii,C3,-29,20.8,43,141.4,Hanba_etal,1997
Juglans ailanthifolia,C3,-29.5625,22.3375,43,141.4,Hanba_etal,1997
Abronia elliptica,C3,-26.4,18.78288928,37.28,-110.85,Flanagan_etal,1997
Adiantum capillus-veneris,C3,-28.1,20.48288928,37.28,-110.85,Flanagan_etal,1997
Aquilegia micrantha,C3,-28.4,20.78288928,37.28,-110.85,Flanagan_etal,1997
Bursera sp.,C3,-23.8,16.18288928,37.28,-110.85,Flanagan_etal,1997
Cercis occidentalis,C3,-29.2,21.58288928,37.28,-110.85,Flanagan_etal,1997
Chrysothamnus nauseosus,C3,-26.7,19.08288928,37.28,-110.85,Flanagan_etal,1997
Cirsium rydbergii,C3,-29.9,22.28288928,37.28,-110.85,Flanagan_etal,1997
Encelia virginensis,C3,-26.2,18.58288928,37.28,-110.85,Flanagan_etal,1997
Ephedra cutleri,C3,-23,15.38288928,37.28,-110.85,Flanagan_etal,1997
Eriogonum contiguum,C3,-26.9,19.28288928,37.28,-110.85,Flanagan_etal,1997
Eriogonum bicolor,C3,-28.1,20.48288928,37.28,-110.85,Flanagan_etal,1997
Gutierrezia microcephala,C3,-25.7,18.08288928,37.28,-110.85,Flanagan_etal,1997
Mimulus eastwoodiae,C3,-32.1,24.48288928,37.28,-110.85,Flanagan_etal,1997
Oenothera longissima,C3,-26.6,18.98288928,37.28,-110.85,Flanagan_etal,1997
Oryzopsis contracta,C3,-23.9,16.28288928,37.28,-110.85,Flanagan_etal,1997
Petrophytum caespitosum,C3,-28.9,21.28288928,37.28,-110.85,Flanagan_etal,1997
Primula specuicola,C3,-29.6,21.98288928,37.28,-110.85,Flanagan_etal,1997
Rhamnus betulifolia,C3,-26.8,19.18288928,37.28,-110.85,Flanagan_etal,1997
Rhus trilobata,C3,-27,19.38288928,37.28,-110.85,Flanagan_etal,1997
Solidago velutina,C3,-29.9,22.28288928,37.28,-110.85,Flanagan_etal,1997
Sphaeralcea grossulariifolia,C3,-28,20.38288928,37.28,-110.85,Flanagan_etal,1997
Quercus acrodonta,C3,-27.4,19.73189381,43.583,3.967,Damesin_etal,1997
Quercus pubescens,C3,-27.375,19.70689381,43.583,3.967,Damesin_etal,1997
Dryopteris carthusiana,C3,-30.43,22.76618669,45.2,-75.62,Berry_etal,1997
Epipactis condensata,C3,-28.68,21.01618669,45.2,-75.62,Berry_etal,1997
Hieracium floribundum,C3,-32.84,25.17618669,45.2,-75.62,Berry_etal,1997
Pinus resinosa,C3,-29.5,21.83618669,45.2,-75.62,Berry_etal,1997
Rhamnus frangula,C3,-31.53,23.86618669,45.2,-75.62,Berry_etal,1997
Ulmus alata,C3,-27,19.33618669,45.2,-75.62,Berry_etal,1997
Astragalus coquimbensis,C3,-20.9,13.23399722,-26.12,-70.6,Ehleringer_etal,1997
Cristaria integerrima,C3,-25.7,18.03399722,-26.12,-70.6,Ehleringer_etal,1997
Dinemandra ericoides,C3,-22.7,15.03399722,-26.12,-70.6,Ehleringer_etal,1997
Eremocharis fruticosa,C3,-24.7,17.03399722,-26.12,-70.6,Ehleringer_etal,1997
Gypothamnium pinifolium,C3,-24.975,17.30899722,-26.12,-70.6,Ehleringer_etal,1997
Heliotropium linariifolium,C3,-24.967,17.30099722,-26.12,-70.6,Ehleringer_etal,1997
Heliotropium pycnophyllum,C3,-25.175,17.50899722,-26.12,-70.6,Ehleringer_etal,1997
Nolana aplocaryoides,C3,-21.1,13.43399722,-26.12,-70.6,Ehleringer_etal,1997
Nolana crassulifolia,C3,-22,14.33399722,-26.12,-70.6,Ehleringer_etal,1997
Nolana elegans,C3,-19.85,12.18399722,-26.12,-70.6,Ehleringer_etal,1997
Nolana mollis,C3,-21.375,13.70899722,-26.12,-70.6,Ehleringer_etal,1997
Nolana paradoxa,C3,-21.6,13.93399722,-26.12,-70.6,Ehleringer_etal,1997
Ophryosporus triangularis,C3,-23.675,16.00899722,-26.12,-70.6,Ehleringer_etal,1997
Polyachyrus cinereus,C3,-24.55,16.88399722,-26.12,-70.6,Ehleringer_etal,1997
Senecio myriophyllus,C3,-22.7,15.03399722,-26.12,-70.6,Ehleringer_etal,1997
Tetragonia maritima,C3,-20.925,13.25899722,-26.12,-70.6,Ehleringer_etal,1997
Alstroemeria paupercula,C3,-26.9,19.2345029,-24.96,-70.43,Ehleringer_etal,1997
Argylia radiata,C3,-25.4,17.7345029,-24.96,-70.43,Ehleringer_etal,1997
Chiropetalum canescens,C3,-28.7,21.0345029,-24.96,-70.43,Ehleringer_etal,1997
Balbisia peduncularis,C3,-25.7,18.0345029,-24.96,-70.43,Ehleringer_etal,1997
Cynanchum boerhaviifolium,C3,-25.2,17.5345029,-24.96,-70.43,Ehleringer_etal,1997
Dioscorea sp.,C3,-25.9,18.2345029,-24.96,-70.43,Ehleringer_etal,1997
Euphorbia lactiflua,C3,-22.7,15.0345029,-24.96,-70.43,Ehleringer_etal,1997
Frankenia chilensis,C3,-24.1,16.4345029,-24.96,-70.43,Ehleringer_etal,1997
Heliotropium taltalense,C3,-27.3,19.6345029,-24.96,-70.43,Ehleringer_etal,1997
Hoffmannseggia prostrata,C3,-27.7,20.0345029,-24.96,-70.43,Ehleringer_etal,1997
Leucheria modesta,C3,-28.9,21.2345029,-24.96,-70.43,Ehleringer_etal,1997
Lycopersicum chilensis,C3,-24.3,16.6345029,-24.96,-70.43,Ehleringer_etal,1997
Malva parviflora,C3,-24.4,16.7345029,-24.96,-70.43,Ehleringer_etal,1997
Mentzelia chilensis,C3,-24.8,17.1345029,-24.96,-70.43,Ehleringer_etal,1997
Nicotiana solanifolia,C3,-24,16.3345029,-24.96,-70.43,Ehleringer_etal,1997
Nolana leptophylla,C3,-24.2,16.5345029,-24.96,-70.43,Ehleringer_etal,1997
Oxalis gigantea,C3,-25.5,17.8345029,-24.96,-70.43,Ehleringer_etal,1997
Oxalis sp.,C3,-27.1,19.4345029,-24.96,-70.43,Ehleringer_etal,1997
Polyachyrus cinereus,C3,-25.4,17.7345029,-24.96,-70.43,Ehleringer_etal,1997
Proustia ilicifolia,C3,-25.9,18.2345029,-24.96,-70.43,Ehleringer_etal,1997
Schizanthus laetus,C3,-22.7,15.0345029,-24.96,-70.43,Ehleringer_etal,1997
Sicyos baderoa,C3,-25.6,17.9345029,-24.96,-70.43,Ehleringer_etal,1997
Solanum remyanum,C3,-23.8,16.1345029,-24.96,-70.43,Ehleringer_etal,1997
Actites megalocarpa,C3,-25.1,17.4345029,-24.96,-70.43,Ehleringer_etal,1997
Stachys pannosa,C3,-26.7,19.0345029,-24.96,-70.43,Ehleringer_etal,1997
Tetragonia macrocarpa,C3,-23.3,15.6345029,-24.96,-70.43,Ehleringer_etal,1997
Tropaeolum tricolor,C3,-25.5,17.8345029,-24.96,-70.43,Ehleringer_etal,1997
Ephedra breana,C3,-24.9,17.2345029,-24.96,-70.43,Ehleringer_etal,1997
Fagonia chilensis,C3,-24.3,16.6345029,-24.96,-70.43,Ehleringer_etal,1997
Heliotropium pycnophyllum,C3,-25.3,17.6345029,-24.96,-70.43,Ehleringer_etal,1997
Nolana aplocaryoides,C3,-25.3,17.6345029,-24.96,-70.43,Ehleringer_etal,1997
Nolana paradoxa,C3,-22.3,14.6345029,-24.96,-70.43,Ehleringer_etal,1997
Polyachyrus cinereus,C3,-25.5,17.8345029,-24.96,-70.43,Ehleringer_etal,1997
Tetragonia maritima,C3,-22.3,14.6345029,-24.96,-70.43,Ehleringer_etal,1997
Adesmia sp.,C3,-22.9,15.2345029,-24.96,-70.43,Ehleringer_etal,1997
Alstroemeria graminea,C3,-27.1,19.4345029,-24.96,-70.43,Ehleringer_etal,1997
Chaetanthera limbata,C3,-22.6,14.9345029,-24.96,-70.43,Ehleringer_etal,1997
Chenopodium hastatum,C3,-22.4,14.7345029,-24.96,-70.43,Ehleringer_etal,1997
Cotula coronopifolia,C3,-26.4,18.7345029,-24.96,-70.43,Ehleringer_etal,1997
Cristaria integerrima,C3,-24.6,16.9345029,-24.96,-70.43,Ehleringer_etal,1997
Cruckshanksia pumila,C3,-25.1,17.4345029,-24.96,-70.43,Ehleringer_etal,1997
Cryptantha sp.,C3,-24.2,16.5345029,-24.96,-70.43,Ehleringer_etal,1997
Lycium deserti,C3,-28.1,20.4345029,-24.96,-70.43,Ehleringer_etal,1997
Nolana aplocaryoides,C3,-21.3,13.6345029,-24.96,-70.43,Ehleringer_etal,1997
Nolana crassulifolia,C3,-24.3,16.6345029,-24.96,-70.43,Ehleringer_etal,1997
Oxalis megalorrhiza,C3,-25.7,18.0345029,-24.96,-70.43,Ehleringer_etal,1997
Plantago litorea,C3,-27.2,19.5345029,-24.96,-70.43,Ehleringer_etal,1997
Reyesia chilensis,C3,-24.5,16.8345029,-24.96,-70.43,Ehleringer_etal,1997
Viola pusilla,C3,-24,16.3345029,-24.96,-70.43,Ehleringer_etal,1997
Viola polypoda,C3,-24.7,17.0345029,-24.96,-70.43,Ehleringer_etal,1997
Dinemandra ericoides,C3,-24.9,17.2345029,-24.96,-70.43,Ehleringer_etal,1997
Huidobria fruticosa,C3,-24.2,16.5345029,-24.96,-70.43,Ehleringer_etal,1997
Malesherbia multiflora,C3,-22.8,15.1345029,-24.96,-70.43,Ehleringer_etal,1997
Nolana divaricata,C3,-21.3,13.6345029,-24.96,-70.43,Ehleringer_etal,1997
Nolana leptophylla,C3,-20.9,13.2345029,-24.96,-70.43,Ehleringer_etal,1997
Nolana aplocaryoides,C3,-23.6,15.9345029,-24.96,-70.43,Ehleringer_etal,1997
Perityle emoryi,C3,-23.2,15.5345029,-24.96,-70.43,Ehleringer_etal,1997
Tetragonia maritima,C3,-21.7,14.0345029,-24.96,-70.43,Ehleringer_etal,1997
Viola polypoda,C3,-23.6,15.9345029,-24.96,-70.43,Ehleringer_etal,1997
Eperua grandiflora,C3,-30.15,22.33904827,5.03,-53,Buchmann_etal,1997
Eschweilera amara,C3,-33.625,25.81404827,5.03,-53,Buchmann_etal,1997
Eschweilera coriacea,C3,-32.67,24.85904827,5.03,-53,Buchmann_etal,1997
Licania alba,C3,-33.9,26.08904827,5.03,-53,Buchmann_etal,1997
Minquartia guianensis,C3,-27.65,19.83904827,5.03,-53,Buchmann_etal,1997
Rhodostemonodaphne grandis,C3,-34.35,26.53904827,5.03,-53,Buchmann_etal,1997
Ocotea glomerata,C3,-33.85,26.03904827,5.03,-53,Buchmann_etal,1997
Oxandra asbeckii,C3,-32.725,24.91404827,5.03,-53,Buchmann_etal,1997
Recordoxylon speciosum,C3,-27.1,19.28904827,5.03,-53,Buchmann_etal,1997
Vouacapoua americana,C3,-30,22.18904827,5.03,-53,Buchmann_etal,1997
Baccharis sp.,C3,-28,20.38275212,37.23,-110.85,Flanagan_etal,1997
Ceanothus sp.,C3,-26.1,18.48275212,37.23,-110.85,Flanagan_etal,1997
Aphananthe cuspidata,C3,-25.8,18.18275212,37.23,-110.85,Flanagan_etal,1997
Equisetum sp.,C3,-24.9,17.28275212,37.23,-110.85,Flanagan_etal,1997
Fraxinus anomala,C3,-26.6,18.98275212,37.23,-110.85,Flanagan_etal,1997
Populus tremuloides,C3,-29,21.38275212,37.23,-110.85,Flanagan_etal,1997
Tamarix sp.,C3,-25.3,17.68275212,37.23,-110.85,Flanagan_etal,1997
Quercus gambelii,C3,-28.2,20.58261496,37.18,-110.88,Flanagan_etal,1997
Atriplex clivicola,C4,-14.167,6.50099722,-26.12,-70.6,Ehleringer_etal,1997
Atriplex clivicola,C4,-14.167,6.50099722,-26.12,-70.6,Ehleringer_etal,1997
Alnus crispa,C3,-28.3,20.63444175,53.5,-105.75,Brooks_etal,1998
Arctostaphylos densiflora,C3,-30.4,22.73444175,53.5,-105.75,Brooks_etal,1998
Cornus canadensis,C3,-28.133,20.46744175,53.5,-105.75,Brooks_etal,1998
Fragaria australis,C3,-31,23.33444175,53.5,-105.75,Brooks_etal,1998
Gaultheria procumbens,C3,-29.4,21.73444175,53.5,-105.75,Brooks_etal,1998
Petasites palmatus,C3,-32.8,25.13444175,53.5,-105.75,Brooks_etal,1998
Picea mariana,C3,-26.5,18.83444175,53.5,-105.75,Brooks_etal,1998
Pinus banksiana,C3,-24.8,17.13444175,53.5,-105.75,Brooks_etal,1998
Populus tremuloides,C3,-28.65,20.98444175,53.5,-105.75,Brooks_etal,1998
Pyrola secunda,C3,-31.3,23.63444175,53.5,-105.75,Brooks_etal,1998
Rosa acicularis,C3,-30.05,22.38444175,53.5,-105.75,Brooks_etal,1998
Salix spp,C3,-29.8,22.13444175,53.5,-105.75,Brooks_etal,1998
Vaccinium myrtilloides,C3,-30.1,22.43444175,53.5,-105.75,Brooks_etal,1998
Vaccinium minus,C3,-29.05,21.38444175,53.5,-105.75,Brooks_etal,1998
Viburnum edule,C3,-27.6,19.93444175,53.5,-105.75,Brooks_etal,1998
Larix occidentalis,C3,-26.355,18.955,46.85,-113.883,Kloeppel_etal,1998
Pseudotsuga macrocarpa,C3,-25.64,18.205,46.85,-113.883,Kloeppel_etal,1998
Larix decidua,C3,-26.57,19.19,47.367,8.533,Kloeppel_etal,1998
Larix laricina,C3,-28.02,20.7,52,-105,Kloeppel_etal,1998
Picea mariana,C3,-27.01,19.64,52,-105,Kloeppel_etal,1998
Larix lyallii,C3,-26.85,19.48,46.7,-114.167,Kloeppel_etal,1998
Pinus albicaulis,C3,-25.63,18.2,46.7,-114.167,Kloeppel_etal,1998
Larix gmelinii,C3,-27.55,20.21,30.667,104.067,Kloeppel_etal,1998
Picea sp.,C3,-27.56,20.21,30.667,104.067,Kloeppel_etal,1998
Larix decidua,C3,-26.44,19.05,46.4,9.8,Kloeppel_etal,1998
Pinus cembra,C3,-24.48,17,46.4,9.8,Kloeppel_etal,1998
Larix decidua,C3,-27.48,20.13,46.4,9.8,Kloeppel_etal,1998
Picea abies,C3,-26.47,19.07,46.4,9.8,Kloeppel_etal,1998
Larix laricina,C3,-28.58,21.29,45.933,-66.633,Kloeppel_etal,1998
Picea mariana,C3,-25.53,18.09,45.933,-66.633,Kloeppel_etal,1998
Larix sibirica,C3,-29.47,22.22,64.3,-20.283,Kloeppel_etal,1998
Picea sitchensis,C3,-27.62,20.28,64.3,-20.283,Kloeppel_etal,1998
Larix decidua,C3,-28,20.68,46.25,14.55,Kloeppel_etal,1998
Picea abies,C3,-26.14,18.73,46.25,14.55,Kloeppel_etal,1998
Acacia mimula,C3,-28.9,21.7,-12.683,132.383,Schulze_etal,1998
Buchanania obovata,C3,-26.75,19.47,-12.683,132.383,Schulze_etal,1998
Erythrophleum chlorostachys,C3,-25.7,18.4,-12.683,132.383,Schulze_etal,1998
Corymbia clavigera,C3,-26.2,18.9,-12.683,132.383,Schulze_etal,1998
Eucalyptus miniata,C3,-27.9,20.7,-12.683,132.383,Schulze_etal,1998
Corymbia porrecta,C3,-28.8,21.6,-12.683,132.383,Schulze_etal,1998
Eucalyptus tectifica,C3,-26.2,18.9,-12.683,132.383,Schulze_etal,1998
Eucalyptus tetrodonta,C3,-27.2,19.9,-12.683,132.383,Schulze_etal,1998
Livistona humilis,C3,-29.3,22.1,-12.683,132.383,Schulze_etal,1998
Planchonia careya,C3,-25.3,17.95,-12.683,132.383,Schulze_etal,1998
Xanthostemon paradoxus,C3,-25.8,18.48,-12.683,132.383,Schulze_etal,1998
Acacia dimidiata,C3,-26.1,18.79,-14.3,132.083,Schulze_etal,1998
Bauhinia cunninghamii,C3,-27.4,20.15,-14.3,132.083,Schulze_etal,1998
Buchanania obovata,C3,-27.1,19.84,-14.3,132.083,Schulze_etal,1998
Corymbia bleeseri,C3,-26.9,19.63,-14.3,132.083,Schulze_etal,1998
Eucalyptus confertiflora,C3,-27.2,19.94,-14.3,132.083,Schulze_etal,1998
Eucalyptus miniata,C3,-27.2,20,-14.3,132.083,Schulze_etal,1998
Eucalyptus tectifica,C3,-26,18.6,-14.3,132.083,Schulze_etal,1998
